City,State,RegionId
Castro Valley,CA,21841
Danvill,CA,4658
Dublin,CA,5159
Fremont,CA,6671
Hayward,CA,8439
Livermore,CA,10683
Milpitas,CA,12204
Mountain View,CA,12739
Palo Alto,CA,14325
Pleasanton,CA,14986
San Jose,CA,17420
San Leandro,CA,17447
San Mateo,CA,17490
San Ramon,CA,17519
Santa Clara,CA,17675
Sunnyvale,CA,19457
Union City,CA,20321
Oakland,CA,13654
Berkeley,CA,1590
Redwood City,CA,15525
South San Francisco,CA,18672
Walnut Creek,CA,20635
Santa Rosa,CA,17911
Vallejo,CA,20371
Napa,CA,12914
Richmond,CA,15629
San Rafael,CA,17518
Concord,CA,4150
Cupertino,CA,4561
Foster City,CA,6524
Menlo Park,CA,11961
Daly City,CA,4636
Belmont,CA,1362
San Carlos,CA,16687